"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Я во многом не согласна с Пьерпонтом, но он весьма прозорливо решил, что злить Безликого опасно. Класзуремское соглашение меня совсем не радует, ведь хрономантия — вещь хорошая. Но знаете, что ещё хорошо? Когда время в твоём мире никто не уничтожил."
"DCG_VO_thunderhide_packmate_healed_01_02"	"<i>(довольно дышит)</i>"
"DCG_VO_thunderhide_packmate_healed_01_03"	"<i>(довольно дышит)</i>"
"DCG_VO_thunderhide_packmate_healed_01_04"	"<i>(довольно дышит)</i>"
"DCG_VO_thunderhide_packmate_summon_03"	"<i>(зычно ревёт)</i>"
"DCG_VO_thunderhide_packmate_healed_01"	"<i>(спокойно сопит)</i>"
"DCG_VO_thunderhide_packmate_healed_02"	"<i>(спокойно сопит)</i>"
"DCG_VO_thunderhide_packmate_healed_03"	"<i>(спокойно сопит)</i>"
"DCG_VO_thunderhide_packmate_death_01"	"<i>(горестно воет)</i>"
"DCG_VO_thunderhide_alpha_summon_01_01"	"<i>(громко ревёт)</i>"
"DCG_VO_thunderhide_alpha_summon_01_02"	"<i>(громко ревёт)</i>"
"DCG_VO_thunderhide_alpha_summon_01_04"	"<i>(громко ревёт)</i>"
"DCG_VO_thunderhide_alpha_summon_02_01"	"<i>(громогласно ревёт)</i>"
"DCG_VO_thunderhide_alpha_summon_02_02"	"<i>(громогласно ревёт)</i>"
"DCG_VO_thunderhide_alpha_summon_02_03"	"<i>(громогласно ревёт)</i>"
"DCG_VO_thunderhide_alpha_summon_02_04"	"<i>(громогласно ревёт)</i>"
"DCG_VO_thunderhide_alpha_healed_01_01"	"<i>(довольно дышит)</i>"
"DCG_VO_thunderhide_alpha_healed_01_02"	"<i>(довольно дышит)</i>"
"DCG_VO_thunderhide_alpha_healed_01_03"	"<i>(довольно дышит)</i>"
"DCG_VO_thunderhide_alpha_healed_01_04"	"<i>(довольно дышит)</i>"
"DCG_VO_thunderhide_alpha_death_01"	"<i>(горестно воет)</i>"
"DCG_VO_plague_ward_hiss_02"		"<i>(злобно шипит)</i>"
"DCG_VO_plague_ward_pain_01"		"<i>(болезненно сипит)</i>"
"DCG_VO_plague_ward_pain_08"		"<i>(отвращённо шарахается)</i>"
"DCG_VO_loyal_boar_summon_01_01"	"<i>(угрожающе рычит)</i>"
"DCG_VO_loyal_boar_summon_01_02"	"<i>(угрожающе рычит)</i>"
"DCG_VO_loyal_boar_summon_01_03"	"<i>(угрожающе рычит)</i>"
"DCG_VO_loyal_boar_healed_01_03"	"<i>(довольно дышит)</i>"
"DCG_VO_loyal_boar_healed_02_01"	"<i>(довольно дышит)</i>"
"DCG_VO_loyal_boar_healed_02_02"	"<i>(довольно дышит)</i>"
"DCG_VO_loyal_boar_death_01"	"<i>(горестно воет)</i>"
"DCG_VO_rampaging_hellbear_summon_02_05"	"<i>(недовольно ворчит)</i>"
"DCG_VO_rampaging_hellbear_summon_03_01"	"<i>(хищно рычит)</i>"
"DCG_VO_rampaging_hellbear_summon_03_02"	"<i>(хищно рычит)</i>"
"DCG_VO_rampaging_hellbear_summon_03_03"	"<i>(хищно рычит)</i>"
"DCG_VO_rampaging_hellbear_summon_03_04"	"<i>(хищно рычит)</i>"
"DCG_VO_rampaging_hellbear_summon_03_05"	"<i>(хищно рычит)</i>"
"DCG_VO_rampaging_hellbear_summon_02"	"<i>(гневно ревёт)</i>"
"DCG_VO_rampaging_hellbear_summon_03"	"<i>(зычно ревёт)</i>"
"DCG_VO_rampaging_hellbear_healed_01_01"	"<i>(довольно дышит)</i>"
"DCG_VO_rampaging_hellbear_healed_01_02"	"<i>(довольно дышит)</i>"
"DCG_VO_rampaging_hellbear_healed_01_03"	"<i>(довольно дышит)</i>"
"DCG_VO_rampaging_hellbear_death_01"	"<i>(горестно воет)</i>"
"DCG_VO_hellbear_crippler_summon_02_01"	"<i>(рычит)</i>"
"DCG_VO_hellbear_crippler_summon_03_01"	"<i>(угрожающе рычит)</i>"
"DCG_VO_hellbear_crippler_summon_03_03"	"<i>(угрожающе рычит)</i>"
"DCG_VO_hellbear_crippler_healed_01_03"	"<i>(довольно дышит)</i>"
"DCG_VO_hellbear_crippler_healed_01_04"	"<i>(довольно дышит)</i>"
"DCG_VO_hellbear_crippler_death_01"	"<i>(горестно воет)</i>"
"DCG_VO_savage_wolf_growls_01"	"<i>(рычит)</i>"
"DCG_VO_savage_wolf_growls_02"	"<i>(рычит)</i>"
"DCG_VO_savage_wolf_growls_03"	"<i>(рычит)</i>"
"DCG_VO_savage_wolf_growls_04"	"<i>(рычит)</i>"
"DCG_VO_savage_wolf_growls_05"	"<i>(рычит)</i>"
"DCG_VO_savage_wolf_growls_06"	"<i>(рычит)</i>"
"DCG_VO_savage_wolf_growls_07"	"<i>(рычит)</i>"
"DCG_VO_savage_wolf_growls_12"	"<i>(скулит от боли)</i>"
"DCG_VO_savage_wolf_death_01"	"<i>(горестно воет)</i>"
"DCG_VO_hound_of_war_summon_01_03"	"<i>(агрессивно лает)</i>"
"DCG_VO_hound_of_war_summon_01_04"	"<i>(агрессивно лает)</i>"
"DCG_VO_hound_of_war_summon_03_02"	"<i>(бешено рычит)</i>"
"DCG_VO_hound_of_war_death_01"	"<i>(горестно воет)</i>"
"DCG_VO_blood_golem_intro"	"Цена уплачена. Повинуюсь. Сражаюсь. Убиваю.  "
"DCG_VO_blood_golem_summon_01"	"Да, хозяин."
"DCG_VO_blood_golem_summon_02"	"Служу."
"DCG_VO_blood_golem_summon_03"	"Умри."
"DCG_VO_blood_golem_ancient_attack_01"	"<i>(рычит)</i>"
"DCG_VO_blood_golem_ancient_attack_02"	"<i>(рычит)</i>"
"DCG_VO_blood_golem_ancient_protect_01"	"Охраняю."
"DCG_VO_blood_golem_ancient_protect_02"	"Защищаю."
"DCG_VO_blood_golem_healed_01"	"Ах..."
"DCG_VO_blood_golem_healed_02"	"<i>(спокойный выдох)</i>"
"DCG_VO_blood_golem_healed_03"	"<i>(спокойный выдох)</i>"
"DCG_VO_blood_golem_death_01"	"<i>(кричит)</i>"
"DCG_VO_prowler_vanguard_intro"	"Уж не знаю, почему эта девочка так важна... Но нам поручили оберегать её, и мы не подведём нашего шамана."
"DCG_VO_prowler_vanguard_summon_01"	"Я на защите."
"DCG_VO_prowler_vanguard_summon_02"	"Держись меня."
"DCG_VO_prowler_vanguard_summon_03"	"Я готов ко всему..."
"DCG_VO_prowler_vanguard_ancient_attack_01"	"Я пришёл помочь!"
"DCG_VO_prowler_vanguard_ancient_attack_02"	"Что прикажешь делать?"
"DCG_VO_prowler_vanguard_ancient_protect_01"	"Я удержу оборону."
"DCG_VO_prowler_vanguard_ancient_protect_02"	"Враги не пройдут."
"DCG_VO_prowler_vanguard_ancient_both_01"	"Я отдам жизнь за победу."
"DCG_VO_prowler_vanguard_ancient_both_02"	"Нельзя сдаваться!"
"DCG_VO_prowler_vanguard_hero_friend_01"	"С нами девочка в безопасности."
"DCG_VO_prowler_vanguard_hero_friend_02"	"Мы к твоим услугам, шаман..."
"DCG_VO_prowler_vanguard_hero_friend_03"	"Ты поступил мудро, доверившись скитальцам..."
"DCG_VO_prowler_vanguard_hero_rival_01"	"Древним здесь не место!"
"DCG_VO_prowler_vanguard_hero_rival_02"	"И что ты со мной сделаешь, Вайпер?.."
"DCG_VO_prowler_vanguard_hero_rival_03"	"Красный туман, тебе здесь не место!"
"DCG_VO_prowler_vanguard_unique_01"	"Никто не пройдёт..."
"DCG_VO_prowler_vanguard_unique_02"	"Сражаться вместе с тобой — большая честь."
"DCG_VO_prowler_vanguard_unique_03"	"Мы сдержим их натиск..."
"DCG_VO_prowler_vanguard_unique_04"	"Со мной ты в безопасности, Чаровница..."
"DCG_VO_prowler_vanguard_unique_05"	"Поможем друг другу, Ликантроп."
"DCG_VO_prowler_vanguard_unique_06"	"Спасибо за помощь, Ликантроп..."
"DCG_VO_prowler_vanguard_unique_07"	"Я прикрою тебя, Луна."
"DCG_VO_prowler_vanguard_unique_08"	"Я выиграю нам достаточно времени."
"DCG_VO_prowler_vanguard_healed_01"	"Ах..."
"DCG_VO_prowler_vanguard_healed_02"	"Спасибо."
"DCG_VO_prowler_vanguard_healed_03"	"Спасибо за заботу."
"DCG_VO_prowler_vanguard_death_01"	"<i>(кричит)</i>"
"DCG_VO_troll_soothsayer_intro"	"Орда Красного тумана — это лишь начало. На подходе ещё одна сила. Я чувствую её в ветре, я вижу её в гадальных костях. Полная тьмы. Полная соблазна. Полная зла. Если мы не подготовимся к её прибытию, она поглотит нас всех."
"DCG_VO_troll_soothsayer_summon_01"	"Грядёт век тьмы..."
"DCG_VO_troll_soothsayer_summon_02"	"Я знаю твоё будущее."
"DCG_VO_troll_soothsayer_summon_03"	"Я несу мудрость..."
"DCG_VO_troll_soothsayer_ancient_attack_01"	"Конец близок..."
"DCG_VO_troll_soothsayer_ancient_attack_02"	"Я вижу победу в нашем будущем..."
"DCG_VO_troll_soothsayer_ancient_protect_01"	"Кости скажут нам, как поступить..."
"DCG_VO_troll_soothsayer_ancient_protect_02"	"Позволь, я спрошу совета у костей..."
"DCG_VO_troll_soothsayer_ancient_both_01"	"Будущее... податливо."
"DCG_VO_troll_soothsayer_ancient_both_02"	"Боги испытывают нас... Мы должны выдержать."
"DCG_VO_troll_soothsayer_hero_friend_01"	"Я в твоём услужении, мой вождь."
"DCG_VO_troll_soothsayer_hero_friend_03"	"Твой путь опасен, Рикс. Будь начеку."
"DCG_VO_troll_soothsayer_hero_rival_01"	"Твоему владычеству пришёл конец, вождь!"
"DCG_VO_troll_soothsayer_hero_rival_02"	"Рикс, я избавлю тебя от себя самого."
"DCG_VO_troll_soothsayer_hero_rival_03"	"Твоё присутствие оскверняет это место, Исчадие тьмы!"
"DCG_VO_troll_soothsayer_unique_01"	"Защити мою жизнь, Чаровница, и будешь вознаграждена."
"DCG_VO_troll_soothsayer_unique_02"	"Энт! Вместе мы свершим великие дела."
"DCG_VO_troll_soothsayer_unique_03"	"Не убивай меня, Лич. Я буду полезнее тебе живой."
"DCG_VO_troll_soothsayer_unique_08"	"Прикрой меня, и я покажу тебе будущее."
"DCG_VO_troll_soothsayer_healed_01"	"Ах..."
"DCG_VO_troll_soothsayer_healed_02"	"Я знала, что моё время ещё не пришло."
"DCG_VO_troll_soothsayer_healed_03"	"Кости предсказали мне твоё милосердие."
"DCG_VO_troll_soothsayer_death_01"	"<i>(кричит)</i>"
"DCG_VO_roseleaf_rejuvinator_intro"	"На протяжении веков воулы и энты Розолиста жили в мире и согласии. Но пришлые чужаки превратили наш дом в поле брани. Мы уже призвали на помощь собратьев из Долины прорицаний. Мы должны защитить воулов... А разорителей этих земель ждёт смерть."
"DCG_VO_roseleaf_rejuvinator_summon_01"	"Спасение близко."
"DCG_VO_roseleaf_rejuvinator_summon_02"	"Я защищу."
"DCG_VO_roseleaf_rejuvinator_summon_03"	"Мы защитим слабых."
"DCG_VO_roseleaf_rejuvinator_ancient_attack_01"	"Придёт время, и враги падут."
"DCG_VO_roseleaf_rejuvinator_ancient_attack_02"	"Пришёл наш час!"
"DCG_VO_roseleaf_rejuvinator_ancient_protect_01"	"Мы выстоим!"
"DCG_VO_roseleaf_rejuvinator_ancient_protect_02"	"Спасение уже здесь."
"DCG_VO_roseleaf_rejuvinator_ancient_both_01"	"Вместе мы сила!"
"DCG_VO_roseleaf_rejuvinator_ancient_both_02"	"Это место под моей защитой!"
"DCG_VO_roseleaf_rejuvinator_hero_friend_01"	"Сражаться вместе с тобой — большая честь, Руфтреллен..."
"DCG_VO_roseleaf_rejuvinator_hero_friend_02"	"Вместе мы защитим лес..."
"DCG_VO_roseleaf_rejuvinator_hero_friend_03"	"Пора разделаться с чужаками."
"DCG_VO_roseleaf_rejuvinator_hero_rival_01"	"Как я этого ждала, Древопил..."
"DCG_VO_roseleaf_rejuvinator_hero_rival_02"	"Нечего твоему народцу здесь делать!"
"DCG_VO_roseleaf_rejuvinator_hero_rival_03"	"Ты за всё ответишь, Древопил..."
"DCG_VO_roseleaf_rejuvinator_unique_01"	"Приветствую, брат."
"DCG_VO_roseleaf_rejuvinator_unique_02"	"Мы защитим воулов."
"DCG_VO_roseleaf_rejuvinator_unique_03"	"Какой ты назойливый, Маззи... Но есть в тебе что-то милое."
"DCG_VO_roseleaf_rejuvinator_unique_04"	"Ты за многое в ответе, Древопил..."
"DCG_VO_roseleaf_rejuvinator_unique_05"	"Мы союзники лишь на время, Риззрак..."
"DCG_VO_roseleaf_rejuvinator_unique_06"	"Руфтреллен, разве можно доверять смышлёнцам?"
"DCG_VO_roseleaf_rejuvinator_unique_07"	"Будь начеку, Руфтреллен... Древопилу нельзя доверять."
"DCG_VO_roseleaf_rejuvinator_unique_08"	"Твоя цель благородна, Рикс."
"DCG_VO_roseleaf_rejuvinator_healed_01"	"Ах..."
"DCG_VO_roseleaf_rejuvinator_healed_02"	"Спасибо."
"DCG_VO_roseleaf_rejuvinator_healed_03"	"Чувствую себя юным деревцем."
"DCG_VO_roseleaf_rejuvinator_death_01"	"<i>(кричит)</i>"
"DCG_VO_roseleaf_rejuvinator_undead_moan_01"	"<i>(стонет)</i>"
"DCG_VO_roseleaf_rejuvinator_undead_anger_01"	"<i>(рычит)</i>"
"DCG_VO_champion_of_the_ancient_intro"	"Мой народ поклялся служить Древнему ценой своей жизни... Мы стали морем живой плоти, которая защитит Свет от Канны и её тёмных еретиков. Благословение Света превратило меня в могучую волну этого моря... И я вселю страх во Тьму."
"DCG_VO_champion_of_the_ancient_summon_01"	"Узрите силу Древнего!"
"DCG_VO_champion_of_the_ancient_summon_02"	"Я служу Древнему!"
"DCG_VO_champion_of_the_ancient_summon_03"	"Воля Света абсолютна."
"DCG_VO_champion_of_the_ancient_ancient_attack_01"	"Ваш Древний падёт!"
"DCG_VO_champion_of_the_ancient_ancient_attack_02"	"Уничтожим Древнего!"
"DCG_VO_champion_of_the_ancient_ancient_protect_01"	"Я защищу Древнего любой ценой."
"DCG_VO_champion_of_the_ancient_ancient_protect_02"	"Я этим займусь..."
"DCG_VO_champion_of_the_ancient_ancient_both_01"	"За Древнего!"
"DCG_VO_champion_of_the_ancient_ancient_both_02"	"Как прикажет Древний..."
"DCG_VO_champion_of_the_ancient_hero_friend_01"	"Что прикажешь делать, Преллекс?"
"DCG_VO_champion_of_the_ancient_hero_friend_02"	"Спасибо за благословение, Преллекс..."
"DCG_VO_champion_of_the_ancient_hero_friend_03"	"За Свет!"
"DCG_VO_champion_of_the_ancient_hero_rival_01"	"Ты еретичка, Канна..."
"DCG_VO_champion_of_the_ancient_hero_rival_02"	"Ты заплатишь за то, что отвергла Свет..."
"DCG_VO_champion_of_the_ancient_hero_rival_03"	"Преллекс простила бы тебя, но не я."
"DCG_VO_champion_of_the_ancient_unique_01"	"Я видел могущество Тьмы."
"DCG_VO_champion_of_the_ancient_unique_02"	"Повинуюсь, Канна."
"DCG_VO_champion_of_the_ancient_unique_03"	"Я видел твою силу, Канна... Лишь ты достойна вести нас."
"DCG_VO_champion_of_the_ancient_unique_04"	"Узрите мощь Света!"
"DCG_VO_champion_of_the_ancient_unique_05"	"Я удержу оборону!"
"DCG_VO_champion_of_the_ancient_unique_06"	"Враги не пройдут!"
"DCG_VO_champion_of_the_ancient_unique_07"	"Неужели тут нужна моя помощь?"
"DCG_VO_champion_of_the_ancient_unique_08"	"Это лишь крупица моей силы..."
"DCG_VO_champion_of_the_ancient_healed_01"	"Ах..."
"DCG_VO_champion_of_the_ancient_healed_02"	"Благословляю тебя."
"DCG_VO_champion_of_the_ancient_healed_03"	"Я твой должник."
"DCG_VO_champion_of_the_ancient_death_01"	"<i>(кричит)</i>"
"DCG_VO_champion_of_the_ancient_undead_moan_01"	"<i>(стонет)</i>"
"DCG_VO_champion_of_the_ancient_undead_anger_01"	"<i>(рычит)</i>"
"DCG_VO_red_mist_pillager_intro"	"Воины Бронзового легиона думают, что остановят нас под Розолистом — но их планы уже дают трещину. А Тресдин, похоже, сошла с ума, если мнит себя способной справиться с Красным туманом и мятежниками Рикса. Нет. Стоунхолл падёт. Это лишь вопрос времени."
"DCG_VO_red_mist_pillager_summon_01"	"Вперёд, братья!"
"DCG_VO_red_mist_pillager_summon_02"	"Победа наша..."
"DCG_VO_red_mist_pillager_summon_03"	"Я — лишь начало."
"DCG_VO_red_mist_pillager_ancient_attack_01"	"<i>(дико хохочет)</i>"
"DCG_VO_red_mist_pillager_ancient_attack_02"	"Будет слишком просто..."
"DCG_VO_red_mist_pillager_ancient_protect_01"	"Совсем скоро нас будет ещё больше..."
"DCG_VO_red_mist_pillager_ancient_protect_02"	"Возьмём эту башню!"
"DCG_VO_red_mist_pillager_ancient_both_01"	"Вы не справитесь с Красным туманом..."
"DCG_VO_red_mist_pillager_ancient_both_02"	"Мы ещё можем проломить их стену..."
"DCG_VO_red_mist_pillager_hero_friend_01"	"Хороший день для войны, мой хан..."
"DCG_VO_red_mist_pillager_hero_friend_02"	"С тобой во главе нас ждёт победа."
"DCG_VO_red_mist_pillager_hero_friend_03"	"Наш брат-оглоди бьётся вместе с нами..."
"DCG_VO_red_mist_pillager_hero_rival_01"	"Смерть Бронзовому легиону!"
"DCG_VO_red_mist_pillager_hero_rival_02"	"Мы разрушим Стоунхолл!"
"DCG_VO_red_mist_pillager_hero_rival_03"	"Стоунхолл падёт!"
"DCG_VO_red_mist_pillager_faction_ally_01"	"Да здравствует Красный туман!"
"DCG_VO_red_mist_pillager_faction_ally_02"	"Мощь Красного тумана не имеет равных!"
"DCG_VO_red_mist_pillager_faction_ally_03"	"Против Красного тумана не выстоять!"
"DCG_VO_red_mist_pillager_unique_01"	"Ты предал Красный туман, Акс..."
"DCG_VO_red_mist_pillager_unique_02"	"Ну и времена пошли, командир..."
"DCG_VO_red_mist_pillager_unique_03"	"Красный туман за твою революцию, Рикс..."
"DCG_VO_red_mist_pillager_unique_04"	"Раз вы бьётесь спина к спине, теперь мы точно победим!"
"DCG_VO_red_mist_pillager_unique_05"	"Прости, Сорла... Ты недостойна быть ханом..."
"DCG_VO_red_mist_pillager_unique_06"	"Ты слишком слаба, чтобы вести нас, Сорла!"
"DCG_VO_red_mist_pillager_unique_07"	"Думаешь, воулы нас остановят?"
"DCG_VO_red_mist_pillager_unique_08"	"Ты обречён на поражение, Рикс..."
"DCG_VO_red_mist_pillager_healed_01"	"Ах..."
"DCG_VO_red_mist_pillager_healed_02"	"Хорошо."
"DCG_VO_red_mist_pillager_healed_03"	"Спасибо."
"DCG_VO_red_mist_pillager_death_01"	"<i>(кричит)</i>"
"DCG_VO_red_mist_pillager_undead_moan_01"	"<i>(стонет)</i>"
"DCG_VO_stonehall_elite_intro"	"Бронзовый легион — авангард защитников Стоунхолла. Но иногда угрозы нашему великому государству приходят не извне... а таятся внутри. Беласанно основал отряд элитных воинов Стоунхолла именно из-за предателей вроде Рикса, и я с честью положу конец восстанию."
"DCG_VO_stonehall_elite_summon_01"	"За славный Стоунхолл!"
"DCG_VO_stonehall_elite_summon_02"	"Мы служим императору Галанию."
"DCG_VO_stonehall_elite_summon_03"	"Я восстановлю порядок."
"DCG_VO_stonehall_elite_ancient_attack_01"	"Я быстро управлюсь."
"DCG_VO_stonehall_elite_ancient_attack_02"	"Только Стоунхолл будет стоять вечно."
"DCG_VO_stonehall_elite_ancient_protect_01"	"Никому не пройти мимо меня!"
"DCG_VO_stonehall_elite_ancient_protect_02"	"Я буду защищать это место до последнего вздоха."
"DCG_VO_stonehall_elite_ancient_both_01"	"Вот он, момент истины."
"DCG_VO_stonehall_elite_ancient_both_02"	"Мы не проиграем!"
"DCG_VO_stonehall_elite_hero_friend_01"	"Беласанно сказал, что тебе не помешает помощь, командир."
"DCG_VO_stonehall_elite_hero_friend_02"	"Мы быстро наведём порядок, командир."
"DCG_VO_stonehall_elite_hero_friend_03"	"Воулы. Красный туман. Какая разница? Любое сопротивление будет подавлено."
"DCG_VO_stonehall_elite_hero_rival_01"	"Умри, предатель!"
"DCG_VO_stonehall_elite_hero_rival_02"	"Твой искалеченный труп увидит весь Стоунхолл!"
"DCG_VO_stonehall_elite_hero_rival_03"	"Я здесь не ради Красного тумана — но и его воинов ждёт смерть."
"DCG_VO_stonehall_elite_faction_ally_01"	"Мы не дадим Стоунхоллу пасть."
"DCG_VO_stonehall_elite_faction_ally_02"	"Пока Легион стоит как один, мы непобедимы!"
"DCG_VO_stonehall_elite_faction_ally_03"	"Они увидят могущество Легиона!"
"DCG_VO_stonehall_elite_unique_01"	"Бунт будет подавлен!"
"DCG_VO_stonehall_elite_unique_02"	"Вини только себя."
"DCG_VO_stonehall_elite_unique_03"	"Рикс, прости меня за всё, что я делал с твоим народом."
"DCG_VO_stonehall_elite_unique_04"	"Я видел Розолист своими глазами — как я теперь посмею поднять руку на воула?"
"DCG_VO_stonehall_elite_unique_05"	"Поднять знамя бычьей змеи!"
"DCG_VO_stonehall_elite_unique_06"	"Оглоди, вам здесь не место."
"DCG_VO_stonehall_elite_unique_07"	"Никакой пощады Красному туману!"
"DCG_VO_stonehall_elite_unique_08"	"Ты не справилась с задачей, Тресдин. Но мы восстановим порядок."
"DCG_VO_stonehall_elite_healed_01"	"Ах..."
"DCG_VO_stonehall_elite_healed_02"	"Спасибо."
"DCG_VO_stonehall_elite_healed_03"	"Благодарю."
"DCG_VO_stonehall_elite_death_01"	"<i>(кричит)</i>"
"DCG_VO_assassins_shadow_intro"	"Самые могущественные из нашего ордена исполняют свой священный долг даже после смерти. Наша связь с Фантомной Вуалью столь сильна, что дух остаётся жить, даже когда тело истлело. Бренный мир остался позади. Присутствие сестёр хоть и умиротворяет меня, но отвлекает от важной работы. В моём списке ещё есть имена... и я не успокоюсь, пока не вычеркну их все."
"DCG_VO_assassins_shadow_summon_01"	"Я работаю в одиночку."
"DCG_VO_assassins_shadow_summon_02"	"У меня есть незаконченное дело."
"DCG_VO_assassins_shadow_summon_03"	"Не вставай на пути у Сестёр Вуали."
"DCG_VO_assassins_shadow_ancient_attack_01"	"Их смерть близка."
"DCG_VO_assassins_shadow_ancient_attack_02"	"Осталось недолго."
"DCG_VO_assassins_shadow_ancient_protect_01"	"Я преломлю ход событий."
"DCG_VO_assassins_shadow_ancient_protect_02"	"Война ещё не окончена."
"DCG_VO_assassins_shadow_ancient_both_01"	"Предоставьте это мне."
"DCG_VO_assassins_shadow_ancient_both_02"	"Всё скоро кончится."
"DCG_VO_assassins_shadow_hero_friend_01"	"Поздравляю с убийством в Ревтеле, сестра."
"DCG_VO_assassins_shadow_hero_friend_02"	"Мортред, твоё ревтельское задание изменит ход истории."
"DCG_VO_assassins_shadow_hero_friend_03"	"Скажи, сестра, как тебе удалось убить одного из ревтельских Королей купцов?"
"DCG_VO_assassins_shadow_hero_rival_01"	"Ничего личного, Тресдин, просто ты у меня в списке."
"DCG_VO_assassins_shadow_hero_rival_02"	"Ты чудовище, Канна."
"DCG_VO_assassins_shadow_hero_rival_03"	"Это не туман, Абаддон, а моя рука на твоей шее."
"DCG_VO_assassins_shadow_faction_ally_01"	"Здравствуйте, сёстры."
"DCG_VO_assassins_shadow_faction_ally_02"	"Не отвлекайте меня, сёстры."
"DCG_VO_assassins_shadow_faction_ally_03"	"С Сёстрами Вуали нельзя не считаться."
"DCG_VO_assassins_shadow_unique_01"	"Я откликнулась на зов. Теперь уйди и дай мне сделать моё дело."
"DCG_VO_assassins_shadow_unique_02"	"Их так много."
"DCG_VO_assassins_shadow_unique_03"	"Посмотри на меня, сестрёнка... Я — твоё будущее."
"DCG_VO_assassins_shadow_unique_04"	"Может ли Совет вернуть мне тело?"
"DCG_VO_assassins_shadow_unique_05"	"Я совсем не такая, как ты, демон."
"DCG_VO_assassins_shadow_unique_06"	"Ты не заслужила смерти, Чаровница, но я себе не хозяйка."
"DCG_VO_assassins_shadow_unique_07"	"Что начала Мортред, закончу я!"
"DCG_VO_assassins_shadow_unique_08"	"Ревтел навлёк на себя гнев сестёр."
"DCG_VO_assassins_shadow_healed_01"	"Ах..."
"DCG_VO_assassins_shadow_healed_02"	"Работа продолжается."
"DCG_VO_assassins_shadow_healed_03"	"Я буду сражаться до конца."
"DCG_VO_assassins_shadow_death_01"	"<i>(кричит)</i>"
"DCG_VO_untested_grunt_intro"	"Знаю, родители думают, что я предал их, когда ушёл с Красным туманом. Они хотели, чтобы я стал ремесленником... Но они просто не видели речь Сорлы-хан на рынке. Они не слышали слов о славном прошлом нашего народа. О том, что Красный туман несёт не разрушение, а защиту и честь. Вместе мы приведём народ оглоди к светлому будущему."
"DCG_VO_untested_grunt_summon_01"	"Я готов проявить себя."
"DCG_VO_untested_grunt_summon_02"	"Я пришёл сражаться."
"DCG_VO_untested_grunt_summon_03"	"Я не боюсь..."
"DCG_VO_untested_grunt_ancient_attack_01"	"Я принесу нам славу!"
"DCG_VO_untested_grunt_ancient_attack_02"	"Настал мой час!"
"DCG_VO_untested_grunt_ancient_protect_01"	"Башня не падёт!"
"DCG_VO_untested_grunt_ancient_protect_02"	"Я вас не подведу!"
"DCG_VO_untested_grunt_ancient_both_01"	"Настал момент истины..."
"DCG_VO_untested_grunt_ancient_both_02"	"Вот он, мой шанс проявить себя!"
"DCG_VO_untested_grunt_hero_friend_01"	"Я готов, мой хан!"
"DCG_VO_untested_grunt_hero_friend_02"	"Мой хан, позволь проявить себя."
"DCG_VO_untested_grunt_hero_friend_03"	"Мой хан, чем могу служить?"
"DCG_VO_untested_grunt_hero_rival_01"	"Стоунхолл падёт!"
"DCG_VO_untested_grunt_hero_rival_02"	"Ох, во что же я ввязался..."
"DCG_VO_untested_grunt_hero_rival_03"	"Когда я убью тебя, то стану легендой среди оглоди..."
"DCG_VO_untested_grunt_faction_ally_01"	"Да здравствует Красный туман!"
"DCG_VO_untested_grunt_faction_ally_02"	"За оглоди!"
"DCG_VO_untested_grunt_faction_ally_03"	"За Сорлу-хан!"
"DCG_VO_untested_grunt_unique_01"	"Так что, теперь мы на одной стороне с Бронзовым легионом?"
"DCG_VO_untested_grunt_unique_02"	"Если того желает хан, я буду сражаться за тебя."
"DCG_VO_untested_grunt_unique_03"	"Ну, хорошо... Знаменосец, значит... С тобой я справлюсь..."
"DCG_VO_untested_grunt_unique_04"	"Умри, ледяная ведьма!"
"DCG_VO_untested_grunt_unique_05"	"Я отдам жизнь за Красный туман."
"DCG_VO_untested_grunt_unique_06"	"Никто из нас не вернётся домой..."
"DCG_VO_untested_grunt_unique_07"	"Смерть Бронзовому легиону!"
"DCG_VO_untested_grunt_unique_08"	"Мне... мне конец..."
"DCG_VO_untested_grunt_healed_01"	"Ах..."
"DCG_VO_untested_grunt_healed_02"	"Спасибо!"
"DCG_VO_untested_grunt_healed_03"	"Я... чуть не умер..."
"DCG_VO_untested_grunt_death_01"	"<i>(кричит)</i>"
"DCG_VO_ogre_conscript_intro"	"Бронзовый легион несёт мир, а глупые воулы сеют хаос. Как и Рикс, я вступил в Легион. Но я не как Рикс. Я не предатель. Скоро мы подавим бунт. Может, тогда командир Тресдин разрешит мне жрать воулов."
"DCG_VO_ogre_conscript_summon_01"	"За славный Стоунхолл."
"DCG_VO_ogre_conscript_summon_02"	"<i>(боевой клич)</i>"
"DCG_VO_ogre_conscript_summon_03"	"Я уничтожу врагов."
"DCG_VO_ogre_conscript_ancient_attack_01"	"Всё закончится быстро."
"DCG_VO_ogre_conscript_ancient_attack_02"	"Я разнесу её по кирпичику."
"DCG_VO_ogre_conscript_ancient_protect_01"	"Мимо меня не пройти."
"DCG_VO_ogre_conscript_ancient_protect_02"	"Здесь враги не пройдут."
"DCG_VO_ogre_conscript_ancient_both_01"	"В атаку!"
"DCG_VO_ogre_conscript_ancient_both_02"	"Всё кончится здесь."
"DCG_VO_ogre_conscript_hero_friend_01"	"Приказывай, командир!"
