"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_revtel_convoy_summon_01"	"Greetings from Revtel..."
"DCG_VO_revtel_convoy_summon_02"	"We travel with precious cargo."
"DCG_VO_revtel_convoy_summon_03"	"Revtel has business to conduct..."
"DCG_VO_revtel_convoy_ancient_attack_01"	"This war needs to end."
"DCG_VO_revtel_convoy_ancient_attack_02"	"This business will be over soon."
"DCG_VO_revtel_convoy_ancient_protect_01"	"Revtel can change the tide..."
"DCG_VO_revtel_convoy_ancient_protect_02"	"Ahhh so you seek the aid of Revtel?"
"DCG_VO_revtel_convoy_ancient_both_01"	"Just remember that it was Revtel who saved you..."
"DCG_VO_revtel_convoy_ancient_both_02"	"You have friends in Revtel..."
"DCG_VO_revtel_convoy_hero_friend_01"	"Have you found her yet?"
"DCG_VO_revtel_convoy_hero_friend_02"	"How goes the hunt Gondar?"
"DCG_VO_revtel_convoy_hero_friend_03"	"It's always a pleasure doing business with you Gondar..."
"DCG_VO_revtel_convoy_hero_rival_01"	"You'll pay for what you did in Revtel..."
"DCG_VO_revtel_convoy_hero_rival_02"	"Revtel does not forget..."
"DCG_VO_revtel_convoy_hero_rival_03"	"We paid you Gondar, how dare you betray us!"
"DCG_VO_revtel_convoy_unique_01"	"We're not looking to fight, we just want safe passage."
"DCG_VO_revtel_convoy_unique_02"	"You will let us pass or you will die."
"DCG_VO_revtel_convoy_unique_03"	"The Brass Herald provides..."
"DCG_VO_revtel_convoy_unique_04"	"What would Revtel be without Iron Fog."
"DCG_VO_revtel_convoy_unique_05"	"Thanks to Iron Fog our coffers are always full.."
"DCG_VO_revtel_convoy_unique_06"	"Mireska will be taken home safely..."
"DCG_VO_revtel_convoy_unique_07"	"The sisterhood has much to answer for."
"DCG_VO_revtel_convoy_unique_08"	"In time the sisterhood will get what they deserve..."
"DCG_VO_revtel_convoy_healed_01"	"Ahhh"
"DCG_VO_revtel_convoy_healed_02"	"I was worried we wouldn't make the journey..."
"DCG_VO_revtel_convoy_healed_03"	"thank you, Lord Sunbreeze would not take too kindly if we failed..."
"DCG_VO_legion_standard_bearer_intro"	"As a boy I dreamed of being a member of the Stonehall Elite... to be trained by Belasanno himself in the ways of war... but the sad truth is that I have no gift for combat.  I am no soldier. But I am a believer. In our emperor. In our country. In our mission. I may not be a swordsman, but I am proud to carry the bullsnake into battle."
"DCG_VO_legion_standard_bearer_summon_01"	"For the glory of Stonehall!"
"DCG_VO_legion_standard_bearer_summon_02"	"I will fight by your side!"
"DCG_VO_legion_standard_bearer_summon_03"	"I raise the bullsnake high!"
"DCG_VO_legion_standard_bearer_ancient_attack_01"	"We will win this!"
"DCG_VO_legion_standard_bearer_ancient_attack_02"	"Victory is assured!"
"DCG_VO_legion_standard_bearer_ancient_protect_01"	"We will not lose!"
"DCG_VO_legion_standard_bearer_ancient_protect_02"	"We must rally!"
"DCG_VO_legion_standard_bearer_ancient_both_01"	"We will not fail Galanius!"
"DCG_VO_legion_standard_bearer_ancient_both_02"	"We will win together, or die together!"
"DCG_VO_legion_standard_bearer_hero_friend_01"	"It's an honor to stand by your side."
"DCG_VO_legion_standard_bearer_hero_friend_02"	"What would you have me do Commander."
"DCG_VO_legion_standard_bearer_hero_friend_03"	"You're back where you belong Rix!"
"DCG_VO_legion_standard_bearer_hero_rival_01"	"How could you betray us Rix?"
"DCG_VO_legion_standard_bearer_hero_rival_02"	"Why would you do this Rix?"
"DCG_VO_legion_standard_bearer_hero_rival_03"	"We won't let you reach Stonehall!"
"DCG_VO_legion_standard_bearer_faction_ally_01"	"Come brothers!"
"DCG_VO_legion_standard_bearer_faction_ally_02"	"The Legion stands united!"
"DCG_VO_legion_standard_bearer_faction_ally_03"	"Form on my standard!"
"DCG_VO_legion_standard_bearer_unique_01"	"I now see Stonehall for what it really is!"
"DCG_VO_legion_standard_bearer_unique_02"	"I'll fight for you, Rix"
"DCG_VO_legion_standard_bearer_unique_03"	"It's a privilege to watch you kill this traitor!"
"DCG_VO_legion_standard_bearer_unique_04"	"We will stand against the Red mist!"
"DCG_VO_legion_standard_bearer_unique_05"	"The Red Mist will never win!"
"DCG_VO_legion_standard_bearer_unique_06"	"We have a common enemy!"
"DCG_VO_legion_standard_bearer_unique_07"	"The enemy isn't the legion Rix, it's the red mist!"
"DCG_VO_legion_standard_bearer_unique_08"	"If we don't stand together, Roseleaf will fall!"
"DCG_VO_legion_standard_bearer_healed_01"	"Ahhh"
"DCG_VO_legion_standard_bearer_healed_02"	"Thank you"
"DCG_VO_legion_standard_bearer_healed_03"	"I'll go on as long as I can..."
"DCG_VO_disciple_of_nevermore_intro"	"There is delicious conflict here. And where there is conflict there is desperation. And where there is desperation there is blood to be shed and deals to be made."
"DCG_VO_disciple_of_nevermore_summon_01"	"I offer a taste of what the Court of Ristul can provide."
"DCG_VO_disciple_of_nevermore_summon_02"	"How can I be of service?"
"DCG_VO_disciple_of_nevermore_summon_03"	"My aid comes with price."
"DCG_VO_disciple_of_nevermore_ancient_attack_01"	"Your enemies will soon be dead."
"DCG_VO_disciple_of_nevermore_ancient_attack_02"	"Victory is imminent."
"DCG_VO_disciple_of_nevermore_ancient_protect_01"	"I will give you the strength to defeat your enemies."
"DCG_VO_disciple_of_nevermore_ancient_protect_02"	"You can still win this battle."
"DCG_VO_disciple_of_nevermore_ancient_both_01"	"We'll end this once and for all."
"DCG_VO_disciple_of_nevermore_ancient_both_02"	"I can feel your desperation."
"DCG_VO_disciple_of_nevermore_hero_friend_01"	"I can give you the strength to defend your people."
"DCG_VO_disciple_of_nevermore_hero_friend_02"	"I can give you the strength to end the rebellion."
"DCG_VO_disciple_of_nevermore_hero_friend_03"	"I can give you the strength to destroy Stonehall."
"DCG_VO_disciple_of_nevermore_hero_rival_01"	"The soul of the great Axe will make worthy gift to Nevermore."
"DCG_VO_disciple_of_nevermore_hero_rival_02"	"I look forward to breaking your will Enchantress."
"DCG_VO_disciple_of_nevermore_hero_rival_03"	"Maiden, your cheerful soul will make a fine addition to the Court of Ristul."
"DCG_VO_disciple_of_nevermore_unique_01"	"Do I have a deal for you."
"DCG_VO_disciple_of_nevermore_unique_02"	"Great power awaits those who align with The Court of Ristul."
"DCG_VO_disciple_of_nevermore_unique_03"	"Nevermore will give you the power you seek."
"DCG_VO_disciple_of_nevermore_unique_04"	"I can give you the power to destroy The Radiant."
"DCG_VO_disciple_of_nevermore_unique_05"	"I can give you the power to destroy The Dire."
"DCG_VO_disciple_of_nevermore_unique_06"	"You're weak Rylai, but the Court of Ristul can make you strong."
"DCG_VO_disciple_of_nevermore_unique_07"	"The Ancients will benefit from aligning with the Court of Ristul."
"DCG_VO_disciple_of_nevermore_unique_08"	"See how your army grows stronger!"
"DCG_VO_disciple_of_nevermore_healed_01"	"Ahhh"
"DCG_VO_disciple_of_nevermore_healed_02"	"I owe you."
"DCG_VO_disciple_of_nevermore_healed_03"	"I'm in your debt."
"DCG_VO_disciple_of_nevermore_death_01"	"<i>Screams</i>"
"DCG_VO_rebel_instigator_intro"	"I'm not some wide-eyed pup with delusions of being a hero. I know what we're up against, and I know I'll be leaving my wife a widow. But this our home. How can I look my daughter in the eyes and say that when our only chance to free ourselves from the yoke of the Bronze Legion came I did nothing. That so many of our brothers died for nothing, that maybe things would have been different if I just tried. No. I know what I need to do. And when I'm finished others will as well."
"DCG_VO_rebel_instigator_summon_01"	"Let's start a riot."
"DCG_VO_rebel_instigator_summon_02"	"It's our time now."
"DCG_VO_rebel_instigator_summon_03"	"Time to make my move."
"DCG_VO_rebel_instigator_ancient_attack_01"	"For the rebellion!"
"DCG_VO_rebel_instigator_ancient_attack_02"	"We can end it all here!"
"DCG_VO_rebel_instigator_ancient_protect_01"	"It's now or never!"
"DCG_VO_rebel_instigator_ancient_protect_02"	"I'll do my part..."
"DCG_VO_rebel_instigator_ancient_both_01"	"It's not over yet"
"DCG_VO_rebel_instigator_ancient_both_02"	"It'll all be over soon."
"DCG_VO_rebel_instigator_hero_friend_01"	"I'm here Rix!"
"DCG_VO_rebel_instigator_hero_friend_02"	"What do you need rix?"
"DCG_VO_rebel_instigator_hero_friend_03"	"I'll fight with my people..."
"DCG_VO_rebel_instigator_hero_rival_01"	"Die, Tresdin..."
"DCG_VO_rebel_instigator_hero_rival_02"	"I don't fear the Legion."
"DCG_VO_rebel_instigator_hero_rival_03"	"Get out of Roseleaf!"
"DCG_VO_rebel_instigator_faction_ally_01"	"No more tyrants!"
"DCG_VO_rebel_instigator_faction_ally_02"	"Come my brothers!"
"DCG_VO_rebel_instigator_faction_ally_03"	"The Vhoul stand united!"
"DCG_VO_rebel_instigator_unique_01"	"You can't kill us all!"
"DCG_VO_rebel_instigator_unique_02"	"Death to tyrants!"
"DCG_VO_rebel_instigator_unique_03"	"You were right commander, the Rebellion was doomed to fail"
"DCG_VO_rebel_instigator_unique_04"	"Rix you lead us to a massacre"
"DCG_VO_rebel_instigator_unique_05"	"Rix, you've gone mad!"
"DCG_VO_rebel_instigator_unique_06"	"Remember that the Vhoul stood with you, Sorla"
"DCG_VO_rebel_instigator_unique_07"	"Bronze Legion. Red Mist. It doesn't matter. The Vhoul aren't afraid anymore"
"DCG_VO_rebel_instigator_unique_08"	"The rebellion thanks you for your support Enchantress."
"DCG_VO_rebel_instigator_healed_01"	"Ahhh"
"DCG_VO_rebel_instigator_healed_02"	"Thanks."
"DCG_VO_rebel_instigator_healed_03"	"Very good."
"DCG_VO_rebel_instigator_death_01"	"<i>Screams</i>"
"DCG_VO_quoidge_pugilist_intro"	"I get it, I get it, 'The Fields of Endless Carnage' sounds like a horrible place to take a holiday but I'm tellin' you Quoidge is a great city filled with lovely people. If you ever make the trip be sure to stop by the fightin' pits and say hello. I may look different on account of the whole sewing-on-limbs thing but I'll remember you... I never forget a face."
"DCG_VO_quoidge_pugilist_summon_01"	"Alright mate, put 'em up..."
"DCG_VO_quoidge_pugilist_summon_02"	"Ready to a go a couple rounds?"
"DCG_VO_quoidge_pugilist_summon_03"	"Just give me somethin' to punch..."
"DCG_VO_quoidge_pugilist_ancient_attack_01"	"I'll make quick work out of 'em..."
"DCG_VO_quoidge_pugilist_ancient_attack_02"	"This'll be over in no time..."
"DCG_VO_quoidge_pugilist_ancient_protect_01"	"No worries, comebacks are my specialty..."
"DCG_VO_quoidge_pugilist_ancient_protect_02"	"We're not outta the fight yet..."
"DCG_VO_quoidge_pugilist_ancient_both_01"	"Time to roll up the metaphorical sleeves, eh?"
"DCG_VO_quoidge_pugilist_ancient_both_02"	"I'll deal with these ruffians."
"DCG_VO_quoidge_pugilist_hero_friend_01"	"You seem like a nice enough lady, but you're making it harder for me to do my job..."
"DCG_VO_quoidge_pugilist_hero_friend_02"	"We're gonna be fast friends Lich, I can tell already..."
"DCG_VO_quoidge_pugilist_hero_friend_03"	"You don't mind if I take a look at the bodies after you sacrifice your mates, Lich?"
"DCG_VO_quoidge_pugilist_hero_rival_01"	"Alright, a proper challenge..."
"DCG_VO_quoidge_pugilist_hero_rival_02"	"Never boxed a robot before..."
"DCG_VO_quoidge_pugilist_hero_rival_03"	"That little tin can of yours isn't very sporting..."
"DCG_VO_quoidge_pugilist_unique_01"	"You keep bringing the fresh meat Kanna and I think we'll get along just fine..."
"DCG_VO_quoidge_pugilist_unique_02"	"Good... a steady supply of fresh parts..."
"DCG_VO_quoidge_pugilist_unique_09_not_in_script"	"You're a long way from home..."
"DCG_VO_quoidge_pugilist_unique_04"	"You strike me as a good bloke Lion, it’s a shame I'm going to have to punch your face in and steal your arm."
"DCG_VO_quoidge_pugilist_unique_05"	"You got lovely eyes Maiden, when you die I'll be sure to give 'em a good home..."
"DCG_VO_quoidge_pugilist_unique_06"	"The battlefield's no place for a boy, run home to your mum and dad and leave the fightin' for the grownups..."
"DCG_VO_quoidge_pugilist_unique_07"	"Rylai what's a nice little bird like you doin' in a nasty little place like this?"
"DCG_VO_quoidge_pugilist_unique_08"	"That is a mighty fine cloak you have, if I do say so myself..."
"DCG_VO_quoidge_pugilist_unique_09_not_in_script'"	"You're a long way from home..."
"DCG_VO_quoidge_pugilist_healed_01"	"Ahhh"
"DCG_VO_quoidge_pugilist_healed_02"	"More fightin' to be done..."
"DCG_VO_quoidge_pugilist_healed_03"	"Ready to go another round..."
"DCG_VO_rebel_decoy_intro"	"I'll never forget the day I met Rix. It was in the early days of the revolution - when people were scared to even gather at night. We met in the tailor's wine cellar and Rix talked... god did he talk. Of passion. Of mistakes. Of his love for our people. I was mesmerized. We all were. So when he turned to me and asked what I could give to help the rebellion, there was only one answer - 'My life.'"
"DCG_VO_rebel_decoy_summon_01"	"I'm willing to die for what I believe... are you?"
"DCG_VO_rebel_decoy_summon_02"	"I'll give my life for the rebellion."
"DCG_VO_rebel_decoy_summon_03"	"I'll get their attention."
"DCG_VO_rebel_decoy_ancient_attack_01"	"We can win this!"
"DCG_VO_rebel_decoy_ancient_attack_02"	"The rebellion won't be denied!"
"DCG_VO_rebel_decoy_ancient_protect_01"	"I'll try to buy us some time..."
"DCG_VO_rebel_decoy_ancient_protect_02"	"We'll fight till the end!"
"DCG_VO_rebel_decoy_ancient_both_01"	"We'll never give up!"
"DCG_VO_rebel_decoy_ancient_both_02"	"I'll try to keep them busy..."
"DCG_VO_rebel_decoy_use_ability_01"	"Hey over here!"
"DCG_VO_rebel_decoy_use_ability_02"	"Hope this works..."
"DCG_VO_rebel_decoy_use_ability_03"	"If I'm lucky I'll survive this."
"DCG_VO_rebel_decoy_hero_friend_01"	"I'll do whatever you ask of me Rix."
"DCG_VO_rebel_decoy_hero_friend_02"	"Tell me what to do Rix."
"DCG_VO_rebel_decoy_hero_friend_03"	"Rix - what does the rebellion need of me"
"DCG_VO_rebel_decoy_hero_rival_01"	"You're a monster Tresdin!"
"DCG_VO_rebel_decoy_hero_rival_02"	"We won't bow to Stonehall!"
"DCG_VO_rebel_decoy_hero_rival_03"	"Stay out of our home!"
"DCG_VO_rebel_decoy_faction_ally_01"	"The rebellion can't fail."
"DCG_VO_rebel_decoy_faction_ally_02"	"We'll take back our home."
"DCG_VO_rebel_decoy_faction_ally_03"	"We have to rise up brothers!"
"DCG_VO_rebel_decoy_unique_01"	"I won't let you die Rix."
"DCG_VO_rebel_decoy_unique_02"	"I'll protect you Rix!"
"DCG_VO_rebel_decoy_unique_03"	"Get out of there Rix!"
"DCG_VO_rebel_decoy_unique_04"	"My life means nothing, end this!"
"DCG_VO_rebel_decoy_unique_05"	"I believe in you Rix."
"DCG_VO_rebel_decoy_unique_06"	"Only you can end this, Rix..."
"DCG_VO_rebel_decoy_unique_07"	"Rix you... you saved me."
"DCG_VO_rebel_decoy_unique_08"	"Help me Rix!"
"DCG_VO_rebel_decoy_healed_01"	"Ahhh"
"DCG_VO_rebel_decoy_healed_02"	"I'll keep fighting."
"DCG_VO_rebel_decoy_healed_03"	"The rebellion takes care of its own."
"DCG_VO_rebel_decoy_death_01"	"<i>Screams</i>"
"DCG_VO_smeevil_blacksmith_intro"	"My needs are simple. A hammer. An anvil. And a master who appreciates my skill. The first two are easy to come by. The third is more illusive. Fortunately bad masters have a tendency to die in battle. Some say this is because of flaws in their armor. I say...'prove it?'"
"DCG_VO_smeevil_blacksmith_summon_01"	"Here to help."
"DCG_VO_smeevil_blacksmith_summon_02"	"Your armor."
"DCG_VO_smeevil_blacksmith_summon_03"	"I made this for you."
"DCG_VO_smeevil_blacksmith_ancient_attack_01"	"I'll protect you for the final push."
"DCG_VO_smeevil_blacksmith_ancient_attack_02"	"Victory is almost here Master."
"DCG_VO_smeevil_blacksmith_ancient_protect_01"	"We will survive"
"DCG_VO_smeevil_blacksmith_ancient_protect_02"	"You'll need this."
"DCG_VO_smeevil_blacksmith_ancient_both_01"	"I will not fail you master."
"DCG_VO_smeevil_blacksmith_ancient_both_02"	"We can't give up hope."
"DCG_VO_smeevil_blacksmith_hero_friend_01"	"The armor is ready Commander."
"DCG_VO_smeevil_blacksmith_hero_friend_02"	"The rebels must be protected"
"DCG_VO_smeevil_blacksmith_hero_friend_03"	"The Red Mist will be ready for battle."
"DCG_VO_smeevil_blacksmith_hero_rival_01"	"I'll stop you lich!"
"DCG_VO_smeevil_blacksmith_hero_rival_02"	"This is for the Smeevils you've killed Lich!"
"DCG_VO_smeevil_blacksmith_hero_rival_03"	"You deserve to die for what you've done lich!"
"DCG_VO_smeevil_blacksmith_unique_02"	"Hello cousin."
"DCG_VO_smeevil_blacksmith_unique_03"	"More armor is needed."
"DCG_VO_smeevil_blacksmith_unique_04"	"It is an honor to serve the Ancients"
"DCG_VO_smeevil_blacksmith_unique_05"	"I haven't outlived my usefulness!"
"DCG_VO_smeevil_blacksmith_unique_06"	"To work alongside the Quorum's representative is a dream come true."
"DCG_VO_smeevil_blacksmith_unique_07"	"The Legion will be protected."
"DCG_VO_smeevil_blacksmith_unique_08"	"Rix, here's the armor you asked for."
"DCG_VO_smeevil_blacksmith_healed_01"	"Ahhh"
"DCG_VO_smeevil_blacksmith_healed_02"	"Thank you"
"DCG_VO_smeevil_blacksmith_healed_03"	"I'm in your debt master"
"DCG_VO_smeevil_blacksmith_death_01"	"<i>Screams</i>"
"DCG_VO_tyler_estate_censor_intro"	"There is no such thing as forbidden magic in Weeping Rose - but some mistake the Quorums...open mindedness... as a license to be irresponsible. The Tyler Estate is what awaits those who would abuse the hospitality Weeping Rose provides."
"DCG_VO_tyler_estate_censor_summon_01"	"The Tyler Estate has sent me."
"DCG_VO_tyler_estate_censor_summon_02"	"Those who abuse magic will be stopped."
"DCG_VO_tyler_estate_censor_summon_03"	"Be silent!"
"DCG_VO_tyler_estate_censor_ancient_attack_01"	"Your Ancient's power isn't strong enough to save you!"
"DCG_VO_tyler_estate_censor_ancient_attack_02"	"I won't let them gain ground."
"DCG_VO_tyler_estate_censor_ancient_protect_01"	"I'll slow them down!"
"DCG_VO_tyler_estate_censor_ancient_protect_02"	"I'll do what I can."
"DCG_VO_tyler_estate_censor_ancient_both_01"	"There will be order here!"
"DCG_VO_tyler_estate_censor_ancient_both_02"	"I'll keep this from getting out of hand."
"DCG_VO_tyler_estate_censor_hero_friend_03"	"The Estate will gladly pay for your services Bounty Hunter."
"DCG_VO_tyler_estate_censor_hero_rival_01"	"I'll take you to the Estate where you belong Lion!"
"DCG_VO_tyler_estate_censor_hero_rival_03"	"You're a monster Lich, and your time is running short."
"DCG_VO_tyler_estate_censor_unique_01"	"We have ways of dealing with those who abuse magic."
"DCG_VO_tyler_estate_censor_unique_02"	"Only the darkest wizards have something to fear from us."
"DCG_VO_tyler_estate_censor_unique_03"	"The situation is under control."
"DCG_VO_tyler_estate_censor_unique_04"	"Silencer gives the Quorum his regards."
"DCG_VO_tyler_estate_censor_unique_05"	"Maiden, why aren't you in Icewrack?"
"DCG_VO_tyler_estate_censor_unique_06"	"You're done here."
"DCG_VO_tyler_estate_censor_unique_07"	"I don't think so."
"DCG_VO_tyler_estate_censor_unique_08"	"Your ritual must be stopped!"
"DCG_VO_tyler_estate_censor_healed_01"	"Ahhh"
"DCG_VO_tyler_estate_censor_healed_02"	"The work continues."
"DCG_VO_tyler_estate_censor_healed_03"	"Thank you for your help"
"DCG_VO_tyler_estate_censor_death_01"	"<i>Screams</i>"
"DCG_VO_smeevil_armsmaster_intro"	"Greevils were terrible mistake. Smeevils were created to fix mistake. Greevils hurt. Smeevils help. For instance. I make swords that can be used to kill Greevils. And other people. But ideally Greevils."
"DCG_VO_smeevil_armsmaster_summon_01"	"Your weapon."
"DCG_VO_smeevil_armsmaster_summon_02"	"Let me help."
"DCG_VO_smeevil_armsmaster_summon_03"	"I live to serve."
"DCG_VO_smeevil_armsmaster_ancient_attack_01"	"Let me sharpen your blade..."
"DCG_VO_smeevil_armsmaster_ancient_attack_02"	"A new weapon for the final push."
"DCG_VO_smeevil_armsmaster_ancient_protect_01"	"I'll do what I can to help."
"DCG_VO_smeevil_armsmaster_ancient_protect_02"	"Protect the Ancient!"
"DCG_VO_smeevil_armsmaster_ancient_both_01"	"The final fight is here!"
"DCG_VO_smeevil_armsmaster_ancient_both_02"	"It's almost over."
"DCG_VO_smeevil_armsmaster_hero_friend_01"	"It's an honor to serve the Legion."
"DCG_VO_smeevil_armsmaster_hero_friend_02"	"The rebellion is just Rix."
"DCG_VO_smeevil_armsmaster_hero_friend_03"	"Thank you for letting me serve, my Khan."
"DCG_VO_smeevil_armsmaster_hero_rival_01"	"You don't treat your servants well Lich."
"DCG_VO_smeevil_armsmaster_hero_rival_02"	"Lich, I've heard what you do to people that outlive their usefulness."
"DCG_VO_smeevil_armsmaster_hero_rival_03"	"You think of no one but yourself Lich!"
"DCG_VO_smeevil_armsmaster_unique_02"	"We toil together."
"DCG_VO_smeevil_armsmaster_unique_03"	"It's nice to work with you cousin."
"DCG_VO_smeevil_armsmaster_unique_04"	"It's an honor to serve the Ancient."
"DCG_VO_smeevil_armsmaster_unique_05"	"Please don't kill me."
"DCG_VO_smeevil_armsmaster_unique_06"	"My services feel a little redundant in the face of the Quorum."
"DCG_VO_smeevil_armsmaster_unique_07"	"The Legion gives me purpose."
"DCG_VO_smeevil_armsmaster_unique_08"	"I'll help the rebellion however I can."
"DCG_VO_smeevil_armsmaster_healed_01"	"Ahhh"
"DCG_VO_smeevil_armsmaster_healed_02"	"Thank you master."
"DCG_VO_smeevil_armsmaster_healed_03"	"You healed an unworthy servant."
"DCG_VO_smeevil_armsmaster_death_01"	"<i>Screams</i>"
"DCG_VO_inc_of_selemene_intro_proc"	"Like any mother, I've had to watch as harm befalls my children - hoping that by not intervening they would learn how to navigate this cruel and unfeeling world. But sometimes... sometimes the cries of my beloved are too loud for me not to answer."
"DCG_VO_inc_of_selemene_summon_01_proc"	"I have heard my children's cries."
"DCG_VO_inc_of_selemene_summon_02_proc"	"This battle must end."
"DCG_VO_inc_of_selemene_summon_03_proc"	"Behold the power of Selemene."
"DCG_VO_inc_of_selemene_ancient_attack_01_proc"	"My fury will be swift."
"DCG_VO_inc_of_selemene_ancient_attack_02_proc"	"The conflict will be over soon."
"DCG_VO_inc_of_selemene_ancient_protect_01_proc"	"I have arrived to save my children."
"DCG_VO_inc_of_selemene_ancient_protect_02_proc"	"Who opposes Selemene?"
"DCG_VO_inc_of_selemene_ancient_both_01_proc"	"Don't give up hope..."
"DCG_VO_inc_of_selemene_ancient_both_02_proc"	"This conflict will be over soon..."
"DCG_VO_inc_of_selemene_hero_friend_02_proc"	"You've been a loyal servant, Luna... "
"DCG_VO_inc_of_selemene_hero_friend_03_proc"	"Your devotion will be rewarded, Luna..."
"DCG_VO_inc_of_selemene_hero_rival_01_proc"	"You will stalk the Nightsilver forest no more!"
"DCG_VO_inc_of_selemene_hero_rival_02_proc"	"The Marrowfell tribe has no place here!"
"DCG_VO_inc_of_selemene_hero_rival_03_proc"	"Begone, Centaur!"
"DCG_VO_inc_of_selemene_unique_01_proc"	"My fury is unmatched..."
"DCG_VO_inc_of_selemene_unique_03_proc"	"Be grateful my children needed me Warrunner..."
"DCG_VO_inc_of_selemene_unique_04_proc"	"Gaze at my power..."
"DCG_VO_inc_of_selemene_unique_05_proc"	"This won't end well for you."
"DCG_VO_inc_of_selemene_unique_06_proc"	"You're afraid. You should be."
"DCG_VO_inc_of_selemene_unique_07_proc"	"The stars have aligned, and now the moon rises."
"DCG_VO_inc_of_selemene_unique_08_proc"	"I have heard your prayers"
"DCG_VO_inc_of_selemene_healed_01_proc"	"Ahhh"
"DCG_VO_inc_of_selemene_healed_02_proc"	"You won't stop me."
"DCG_VO_inc_of_selemene_healed_03_proc"	"The battle continues."
"DCG_VO_inc_of_selemene_death_01_proc"	"<i>Screams</i>"
"DCG_VO_inc_of_selemene_tower_destroy_01_proc"	"I've come to save my devoted."
"DCG_VO_inc_of_selemene_tower_destroy_02_proc"	"I am the salvation of Nightsilver."
"DCG_VO_inc_of_selemene_tower_destroy_03_proc"	"There is no mercy to be found here."
"DCG_VO_inc_of_selemene_tower_destroy_04_proc"	"You can't prevent the inevitable."
"DCG_VO_inc_of_selemene_tower_destroy_05_proc"	"You'll pay for your transgressions."
"DCG_VO_inc_of_selemene_tower_saved_01_proc"	"Salvation is at hand..."
"DCG_VO_inc_of_selemene_tower_saved_02_proc"	"Your deliverance is here!"
"DCG_VO_inc_of_selemene_tower_saved_03_proc"	"My mercy is only matched by my wrath."
"DCG_VO_inc_of_selemene_tower_saved_04_proc"	"Leave this place or be destroyed!"
"DCG_VO_inc_of_selemene_tower_saved_05_proc"	"How dare you assault my chosen..."
"DCG_VO_cursed_satyr_intro"	"I'm not proud of what I've done, we were children playing games... how could I've expected what would come, what she was willing to awaken. Death is coming for us all now... but it is most certainly coming for me first."
"DCG_VO_cursed_satyr_summon_01"	"There's no place left to hide."
"DCG_VO_cursed_satyr_summon_02"	"It's coming for me, I'm sorry."
"DCG_VO_cursed_satyr_summon_03"	"Death is coming for us all."
"DCG_VO_cursed_satyr_ancient_attack_01"	"If we're lucky this will end before it comes..."
"DCG_VO_cursed_satyr_ancient_attack_02"	"We don't have much time."
"DCG_VO_cursed_satyr_ancient_protect_01"	"I'll do what I can."
"DCG_VO_cursed_satyr_ancient_protect_02"	"I don't know how long I can hold them off."
"DCG_VO_cursed_satyr_ancient_both_01"	"No more running. It ends here."
"DCG_VO_cursed_satyr_ancient_both_02"	"We have to hurry!"
"DCG_VO_cursed_satyr_hero_friend_01"	"Please Sven, help me!"
"DCG_VO_cursed_satyr_hero_friend_02"	"Ill be safe with you Sven."
"DCG_VO_cursed_satyr_hero_friend_03"	"I hope you're ready for a fight Axe."
"DCG_VO_cursed_satyr_hero_rival_01"	"It's time for me to face my demons."
"DCG_VO_cursed_satyr_hero_rival_02"	"I won't let you ruin my life anymore!"
"DCG_VO_cursed_satyr_hero_rival_03"	"It's time to finish what I started..."
"DCG_VO_cursed_satyr_unique_02"	"Enchantress, can I stay by you?"
"DCG_VO_cursed_satyr_unique_03"	"I seek refuge in Roseleaf."
"DCG_VO_cursed_satyr_unique_04"	"Let's see that thing get me here..."
"DCG_VO_cursed_satyr_unique_05"	"It's safe here... for now."
"DCG_VO_cursed_satyr_unique_06"	"I need protection!"
"DCG_VO_cursed_satyr_unique_07"	"it's too late, they've found me!"
"DCG_VO_cursed_satyr_unique_08"	"We're all doomed!"
"DCG_VO_cursed_satyr_healed_01"	"Ahhh"
"DCG_VO_cursed_satyr_healed_02"	"Thank you"
"DCG_VO_cursed_satyr_healed_03"	"You've bought me more time..."
"DCG_VO_cursed_satyr_death_01"	"<i>Screams</i>"
"DCG_VO_cursed_satyr_tower_destroy_01"	"Now's the time!"
"DCG_VO_cursed_satyr_tower_destroy_02"	"Let's finish this fight!"
"DCG_VO_cursed_satyr_tower_destroy_03"	"Quick, before it comes!"
"DCG_VO_cursed_satyr_tower_destroy_04"	"We must hurry and end this!"
"DCG_VO_cursed_satyr_tower_destroy_05"	"I won't be ruled by fear."
"DCG_VO_cursed_satyr_tower_saved_01"	"We can still stop them!"
"DCG_VO_cursed_satyr_tower_saved_02"	"My life is forfeit anyway..."
"DCG_VO_cursed_satyr_tower_saved_03"	"I want my death to mean something."
"DCG_VO_cursed_satyr_tower_saved_04"	"It's not too late!"
"DCG_VO_cursed_satyr_tower_saved_05"	"If I'm lucky I'll die before it comes for me."
"DCG_VO_emissary_intro"	"The more judgmental call Weeping Rose a place where magic is unfettered by morality... a chaotic city of delights and horrors. And they would be partially right. The city was founded on the idea that 'good magic' and 'evil magic' are labels created by lesser minds... But there is no chaos in Weeping Rose... The Quorum ensures that is the case. And it is on their behalf that I have traveled here."
